Serial_Number	CASE_STATUS	EMPLOYER_NAME	SOC_NAME	JOB_TITLE	FULL_TIME_POSITION	PREVAILING_WAGE	YEAR	WORKSITE	lon	lat
5471	CERTIFIED	"PAUL, WEISS, RIFKIND, WHARTON & GARRISON LLP"	MARKETING MANAGERS	STRATEGIC PRICING SENIOR MANAGER/DIRECTOR	Y	144123	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5472	CERTIFIED	FUTURIS AUTOMOTIVE (US) INC.	MARKETING MANAGERS	COMMERCIAL DIRECTOR	Y	166899	2016	"NEWARK, CALIFORNIA"	-122.0402399	37.5296593
5473	CERTIFIED	PARNELL CORPORATE SERVICES US INC	MARKETING MANAGERS	DIGITAL MARKETING DIRECTOR	Y	142709	2016	"OVERLAND PARK, KANSAS"	-94.6707917	38.9822282
5474	CERTIFIED	"CUTWATER, LLC"	MARKETING MANAGERS	MEDIA DIRECTOR	Y	179733	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
5475	CERTIFIED	"BI-LO HOLDING, LLC"	MARKETING MANAGERS	DIRECTOR SHOPPER INSIGHTS	Y	119891	2016	"JACKSONVILLE, FLORIDA"	-81.655651	30.3321838
5476	CERTIFIED	"PABST BREWING COMPANY, LLC"	MARKETING MANAGERS	DIRECTOR OF STRATEGY	Y	174658	2016	"SANTA MONICA, CALIFORNIA"	-118.4911912	34.0194543
5477	CERTIFIED	"THREATMETRIX, INC."	MARKETING MANAGERS	DIRECTOR OF MOBILE PRODUCTS	Y	187907	2016	"SAN JOSE, CALIFORNIA"	-121.8863286	37.3382082
5478	CERTIFIED	"SJX PARTNERS, INC."	MARKETING MANAGERS	MARKETING MANAGER	Y	87922	2016	"NEW CANAAN, CONNECTICUT"	-73.4948445	41.146763
5479	CERTIFIED	"CALKAIN COMPANIES, LLC."	MARKETING MANAGERS	MARKETING MANAGER	N	64209.6	2016	"SACRAMENTO, CALIFORNIA"	-121.4943996	38.5815719
5480	CERTIFIED	"HAKKASAN HOLDINGS, LLC"	MARKETING MANAGERS	MARKETING OPERATIONS ADMINISTRATOR	N	63378	2016	"LAS VEGAS, NEVADA"	-115.1398296	36.1699412
5481	CERTIFIED	APPLE INC.	MARKETING MANAGERS	ALLIANCE/PARTNER SPEC	Y	123198	2016	"CUPERTINO, CALIFORNIA"	-122.0321823	37.3229978
5482	CERTIFIED	"THREATMETRIX, INC."	MARKETING MANAGERS	DIRECTOR OF MOBILE PRODUCTS	Y	155542	2016	"SAN JOSE, CALIFORNIA"	-121.8863286	37.3382082
5483	CERTIFIED	"ELIZABETH ARDEN, INC."	MARKETING MANAGERS	"DIRECTOR, MARKETING - DIGITAL FRAGRANCE"	Y	108493	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5484	CERTIFIED	"BACARDI U.S.A., INC."	MARKETING MANAGERS	"BRAND MANAGER, GREY GOOSE"	Y	135283	2016	"CORAL GABLES, FLORIDA"	-80.2683838	25.72149
5485	CERTIFIED	"ERESEARCH TECHNOLOGY, INC."	MARKETING MANAGERS	PRODUCT MANAGER	Y	101462	2016	"PHILADELPHIA, PENNSYLVANIA"	-75.1652215	39.9525839
5486	CERTIFIED	"CUTWATER, LLC"	MARKETING MANAGERS	MEDIA DIRECTOR	Y	110074	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
5487	CERTIFIED	"PRO PERFORMANCE SPORTS, LLC"	MARKETING MANAGERS	STRATEGIC ACCOUNT MANAGER	Y	83408	2016	"CARLSBAD, CALIFORNIA"	-117.3505939	33.1580933
5488	CERTIFIED	"SHEPARDSON, STERN & KAMINSKY LLP"	MARKETING MANAGERS	"MANAGER, DIGITAL STRATEGY"	Y	108493	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5489	CERTIFIED	"ISLAND PACIFIC SYSTEMS, INC"	MARKETING MANAGERS	MARKETING MANAGER	Y	111862	2016	"COHASSET, MASSACHUSETTS"	NA	NA
5490	CERTIFIED	TBWA WORLDWIDE INC.	MARKETING MANAGERS	GROUP PLANNING DIRECTOR	Y	179774	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5491	CERTIFIED	THE WEISSCOMM GROUP LTD	MARKETING MANAGERS	HEAD OF MARKET INSIGHT	Y	179774	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5492	DENIED	ORAL ROBERTS UNIVERSITY	MARKETING MANAGERS	DIRECTOR OF ADMISSIONS MARKETING	N	42099	2016	"TULSA, OKLAHOMA"	-95.992775	36.1539816
5493	CERTIFIED	"APOS US MANAGEMENT, INC."	MARKETING MANAGERS	MARKETING MANAGER	Y	108493	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5494	CERTIFIED	"APOS US MANAGEMENT, INC."	MARKETING MANAGERS	MARKETING MANAGER	Y	108493	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5495	CERTIFIED	"PAYPAL, INC."	MARKETING MANAGERS	GLOBAL PRODUCT MARKETING MANAGER	Y	155542	2016	"SAN JOSE, CALIFORNIA"	-121.8863286	37.3382082
5496	CERTIFIED	"APOS US MANAGEMENT, INC."	MARKETING MANAGERS	BUSINESS DEVELOPMENT MANAGER	Y	108493	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5497	DENIED	SMART DESIGN LLC	MARKETING MANAGERS	"DIRECTOR, MARKETING"	Y	144123	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5498	DENIED	BREW CREW INC	MARKETING MANAGERS	MARKETING MANAGER	N	26000	2016	"BROOKLYN, NEW YORK"	-73.9441579	40.6781784
5499	CERTIFIED	ORAL ROBERTS UNIVERSITY	MARKETING MANAGERS	DIRECTOR OF ADMISSIONS MARKETING	N	53144	2016	"TULSA, OKLAHOMA"	-95.992775	36.1539816
5500	CERTIFIED	OMD USA LLC	MARKETING MANAGERS	COMMUNICATIONS PLANNER	Y	214552	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
5501	CERTIFIED	SMART DESIGN LLC	MARKETING MANAGERS	"DIRECTOR, MARKETING"	Y	144123	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5502	CERTIFIED	"INTERCOM, INC."	MARKETING MANAGERS	SENIOR DIRECTOR OF MARKETING	Y	179733	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
5503	CERTIFIED	"REMBRANDT ENTERPRISES, INC."	MARKETING MANAGERS	VP OF MARKETING	Y	155480	2016	"ST. LOUIS PARK, MINNESOTA"	-93.3702186	44.9597376
5504	CERTIFIED	KIMBERLY-CLARK CORPORATION	MARKETING MANAGERS	CATEGORY STRATEGIST	Y	130624	2016	"NEENAH, WISCONSIN"	-88.462609	44.1858193
5505	CERTIFIED	PASSPORT BRAND DESIGN LLC	MARKETING MANAGERS	CREATIVE DIRECTOR	Y	81078	2016	"NEWPORT BEACH, CALIFORNIA"	-117.9289469	33.6189101
5506	DENIED	"ALIVE &AMP; THINKING, LLC"	MARKETING MANAGERS	MARKETING DIRECTOR	Y	180000	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5507	CERTIFIED	PASSPORT BRAND DESIGN LLC	MARKETING MANAGERS	MANAGING DIRECTOR	Y	143458	2016	"NEWPORT BEACH, CALIFORNIA"	-117.9289469	33.6189101
5508	CERTIFIED	THE AMERICAN PROJECTS LLC	MARKETING MANAGERS	GLOBAL HEAD OF STRATEGY	Y	143458	2016	"WEST HOLLYWOOD, CALIFORNIA"	-118.3617443	34.0900091
5509	DENIED	CAPTURING NATURE TOURS LLC	MARKETING MANAGERS	DIRECTOR OF MARKETING	Y	98509	2016	"PARKTON, MARYLAND"	NA	NA
5510	CERTIFIED	"RUSTY USA, LLC"	MARKETING MANAGERS	MARKETING DIRECTOR	Y	76045	2016	"LAGUNA BEACH, CALIFORNIA"	-117.7831104	33.5422475
5511	CERTIFIED	"DIANE VON FURSTENBURG STUDIO, LLC"	MARKETING MANAGERS	SENIOR VICE PRESIDENT  DIRECT TO CONSUMER	Y	215405	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5512	DENIED	BOOKING BOSS LLC	MARKETING MANAGERS	MARKETING MANAGER	Y	74651	2016	"HONOLULU, HAWAII"	-157.8583333	21.3069444
5513	CERTIFIED	"ALIVE &AMP; THINKING, LLC"	MARKETING MANAGERS	MARKETING DIRECTOR	Y	215405	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5514	CERTIFIED	CATAPULT SPORTS LLC	MARKETING MANAGERS	DIRECTOR OF MARKETING	N	69618	2016	"CHICAGO, ILLINOIS"	-87.6297982	41.8781136
5515	CERTIFIED	GOSEETELL NETWORK INC	MARKETING MANAGERS	ACCOUNT DIRECTOR	N	62026	2016	"PORTLAND, OREGON"	-122.6764816	45.5230622
5516	CERTIFIED	CAPTURING NATURE TOURS LLC	MARKETING MANAGERS	DIRECTOR OF MARKETING	Y	98500	2016	"PARKTON, MARYLAND"	NA	NA
5517	CERTIFIED	"NETFLIX, INC."	MARKETING MANAGERS	"DIRECTOR, PARTNER MARKETING"	Y	174658	2016	"BEVERLY HILLS, CALIFORNIA"	-118.4003563	34.0736204
5518	CERTIFIED	WESTERN OILFIELDS SUPPLY	MARKETING MANAGERS	STRATEGIC ACCOUNT MANAGER	Y	131248	2016	"FT. LUPTON, COLORADO"	NA	NA
5519	CERTIFIED	"AIRBNB, INC."	MARKETING MANAGERS	"GLOBAL HEAD OF ADVERTISING, MEDIA AND MARKETING ANALYTICS"	Y	179733	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
5520	CERTIFIED	MOSH HOLDING CO	MARKETING MANAGERS	CHIEF STRATEGY OFFICER	Y	179774	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5521	DENIED	SIGNATUREPAGES INCORPORATED	MARKETING MANAGERS	DIGITAL MARKETING AND CREATIVE COMMUNICATIONS MANAGER	N	45000	2016	"LOS ANGELES, CALIFORNIA"	-118.2436849	34.0522342
5522	CERTIFIED	THE AMERICAN PROJECTS LLC	MARKETING MANAGERS	GLOBAL HEAD OF STRATEGY	Y	81078	2016	"WEST HOLLYWOOD, CALIFORNIA"	-118.3617443	34.0900091
5523	DENIED	ADVANCE MAGAZINE PUBLISHERS INC. DBA CONDE NAST	MARKETING MANAGERS	"DIRECTOR, PRODUCT STRATEGY"	Y	108493	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5524	CERTIFIED-WITHDRAWN	"VIZEUM, INC."	MARKETING MANAGERS	"DIRECTOR, STRATEGY"	Y	108493	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5525	CERTIFIED	"MACROVIEW, INC."	MARKETING MANAGERS	VICE PRESIDENT	Y	108493	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5526	CERTIFIED	MOVE GUIDES INC.	MARKETING MANAGERS	SENIOR PRODUCT MANAGER	Y	144893	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
5527	CERTIFIED	"NBTY, INC."	MARKETING MANAGERS	BRAND MANAGER	Y	97781	2016	"RONKONKOMA, NEW YORK"	-73.1241488	40.8064187
5528	CERTIFIED	ADVANCE MAGAZINE PUBLISHERS INC. DBA CONDE NAST	MARKETING MANAGERS	"DIRECTOR, PRODUCT STRATEGY"	Y	108493	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5529	CERTIFIED	"ANCESTRY.COM OPERATIONS, INC."	MARKETING MANAGERS	PRODUCT MARKETING MANAGER	Y	179733	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
5530	CERTIFIED	GOOGLE INC.	MARKETING MANAGERS	PARTNER DEVELOPMENT MANAGER	Y	112278	2016	"BEVERLY HILLS, CALIFORNIA"	-118.4003563	34.0736204
5531	CERTIFIED	PRICEWATERHOUSECOOPERS LLP	MARKETING MANAGERS	CLIENT STRATEGY MANAGER	N	69618	2016	"CHICAGO, ILLINOIS"	-87.6297982	41.8781136
5532	CERTIFIED	"AMAZON WEB SERVICES, INC."	MARKETING MANAGERS	SENIOR MARKETING MANAGER	Y	141586	2016	"SEATTLE, WASHINGTON"	-122.3320708	47.6062095
5533	CERTIFIED	EPANTRY LLC	MARKETING MANAGERS	CHIEF MERCHANT	Y	110074	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
5534	CERTIFIED	BOOKING BOSS LLC	MARKETING MANAGERS	MARKETING MANAGER	Y	74651	2016	"HONOLULU, HAWAII"	-157.8583333	21.3069444
5535	CERTIFIED	SMART SPARROW LLC	MARKETING MANAGERS	INSPARK DIRECTOR OF NETWORK DEVELOPMENT	Y	110074	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
5536	CERTIFIED	BREW CREW INC	MARKETING MANAGERS	MARKETING MANAGER	N	26000	2016	"BROOKLYN, NEW YORK"	-73.9441579	40.6781784
5537	CERTIFIED	MEAT & LIVESTOCK AUSTRALIA LTD	MARKETING MANAGERS	"BUSINESS DEVELOPMENT MANAGER, FOODSERVICE"	Y	92955	2016	"WASHINGTON, DISTRICT OF COLUMBIA"	-77.0368707	38.9071923
5538	CERTIFIED	"BI-LO HOLDING, LLC"	MARKETING MANAGERS	MARKETING MANAGER	Y	95430	2016	"JACKSONVILLE, FLORIDA"	-81.655651	30.3321838
5539	CERTIFIED	LUSHLIFE LLC.	MARKETING MANAGERS	MARKETING MANAGER	N	55182	2016	"MIAMI, FLORIDA"	-80.1917902	25.7616798
5540	CERTIFIED	ADVANCE MAGAZINE PUBLISHERS INC. DBA CONDE NAST	MARKETING MANAGERS	SENIOR EXECUTIVE DIGITAL DIRECTOR	Y	179774	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5541	CERTIFIED	FUTURIS AUTOMOTIVE (US) INC.	MARKETING MANAGERS	COMMERCIAL DIRECTOR	Y	166899	2016	"NEWARK, CALIFORNIA"	-122.0402399	37.5296593
5542	CERTIFIED	BUTTERFIELDS BUTTER	MARKETING MANAGERS	MARKETING MANAGER	Y	172972.8	2016	"ROCKY MOUNT, NORTH CAROLINA"	-77.7905339	35.9382103
5543	CERTIFIED	PRIMEDICAL LLC	MARKETING MANAGERS	EXECUTIVE OF BUSINESS DEVELOPMENT	N	67454	2016	"VERO BEACH, FLORIDA"	-80.3972736	27.6386434
5544	CERTIFIED	OMD USA LLC	MARKETING MANAGERS	HEAD OF CONNECTED EXPERIENCES	Y	179774	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5545	CERTIFIED	ACXIOM CORPORATION	MARKETING MANAGERS	MARKETING STRATEGIST	Y	108493	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5546	CERTIFIED	MOSH HOLDING CO	MARKETING MANAGERS	CHIEF EXECUTIVE OFFICER	Y	179774	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5547	CERTIFIED	"NICIRA, INC."	MARKETING MANAGERS	SR. PRODUCT LINE MARKETING MANAGER	Y	165293	2016	"PALO ALTO, CALIFORNIA"	-122.1430195	37.4418834
5548	CERTIFIED	"NC INTERACTIVE, LLC"	MARKETING MANAGERS	"SENIOR VP, BUSINESS SERVICES"	Y	166608	2016	"ALISO VIEJO, CALIFORNIA"	-117.7256083	33.5676842
5549	CERTIFIED	"OUTERSPACE DESIGN GROUP, INC."	MARKETING MANAGERS	VP OF USA OPERATIONS	Y	177070	2016	"LA JOLLA, CALIFORNIA"	-117.2712717	32.8328112
5550	CERTIFIED	"THE GAP, INC."	MARKETING MANAGERS	SENIOR STUDIO MANAGER	Y	110074	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
5551	CERTIFIED	"AGROGILL CHEMICALS AMERICAS, INC."	MARKETING MANAGERS	BUSINESS DEVELOPMENT EXECUTIVE - AGRICULTURAL CHEMICALS	Y	106226	2016	"YORBA LINDA, CALIFORNIA"	-117.8131125	33.8886259
5552	CERTIFIED	LYMI INC	MARKETING MANAGERS	SOCIAL MEDIA MANAGER	Y	81078	2016	"LOS ANGELES, CALIFORNIA"	-118.2436849	34.0522342
5553	CERTIFIED	"MEDIABRANDS WORLDWIDE, INC."	MARKETING MANAGERS	GLOBAL DIRECTOR OF MEDIA INTELLIGENCE SYSTEMS	Y	215405	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5554	CERTIFIED	FORTUNE INSTITUTE INC	MARKETING MANAGERS	MARKETING DIRECTOR	Y	143458	2016	"LOS ANGELES, CALIFORNIA"	-118.2436849	34.0522342
5555	CERTIFIED	HIGHGATE HOTELS LP	MARKETING MANAGERS	DIRECTOR OF SALES AND MARKETING	Y	144123	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5556	WITHDRAWN	VITALIC NOISE LLC	MARKETING MANAGERS	MARKETING MANAGER	Y	81078	2016	"LOS ANGELES, CALIFORNIA"	-118.2436849	34.0522342
5557	CERTIFIED	"PAYPAL, INC."	MARKETING MANAGERS	"SENIOR MANAGER, CORPORATE STRATEGY"	Y	155542	2016	"SAN JOSE, CALIFORNIA"	-121.8863286	37.3382082
5558	CERTIFIED	"LOCAL MEASURE, INC."	MARKETING MANAGERS	"VP AMERICAS, MARKETING AND SALES"	Y	81890	2016	"NORTH MIAMI, FLORIDA"	-80.1867138	25.8900949
5559	CERTIFIED	"TUBULAR LABS, INC."	MARKETING MANAGERS	DIRECTOR OF CUSTOMER MARKETING	Y	155542	2016	"MOUNTAIN VIEW, CALIFORNIA"	-122.0838511	37.3860517
5560	CERTIFIED	SUPERFLY MARKETING GROUP	MARKETING MANAGERS	"EXECUTIVE VICE PRESIDENT, STRATEGY"	Y	215405	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5561	CERTIFIED	GLOBAL LIFE DISTRIBUTION (US) INC.	MARKETING MANAGERS	CHIEF REVENUE OFFICER	Y	215405	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5562	CERTIFIED	"GOOGLE, INC."	MARKETING MANAGERS	BUSINESS AND PARTNERSHIPS STRATEGY MANAGER	Y	112635	2016	"SAN BRUNO, CALIFORNIA"	-122.4110835	37.6304904
5563	CERTIFIED	"TWITTER, INC."	MARKETING MANAGERS	LEAD INTERNATIONAL DEVELOPMENT TWITTER AMPLIFY	Y	158288	2016	"NEW YORK CITY, NEW YORK"	-74.0059413	40.7127837
5564	CERTIFIED	"TROV, INC."	MARKETING MANAGERS	DIRECTOR BUSINESS DEVELOPMENT	Y	108493	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5565	CERTIFIED	"CAPTRICITY, INC."	MARKETING MANAGERS	VICE PRESIDENT OF MARKETING & SALES	Y	199451	2016	"OAKLAND, CALIFORNIA"	-122.2711137	37.8043637
5566	CERTIFIED	"GOOGLE, INC."	MARKETING MANAGERS	BUSINESS AND PARTNERSHIPS STRATEGY MANAGER	Y	112635	2016	"SAN BRUNO, CALIFORNIA"	-122.4110835	37.6304904
5567	CERTIFIED	GENUINE PARTS COMPANY	MARKETING MANAGERS	VICE PRESIDENT - RETAIL	Y	163696	2016	"ATLANTA, GEORGIA"	-84.3879824	33.7489954
5568	CERTIFIED	DAVOL INC.	MARKETING MANAGERS	INTERNATIONAL MARKET DEVELOPMENT DIRECTOR	Y	154939	2016	"WARWICK, RHODE ISLAND"	-71.4161671	41.7001009
5569	CERTIFIED	"ZUFFA, LLC"	MARKETING MANAGERS	"VICE PRESIDENT, INTERNATIONAL MARKETING PARTNERSHIPS"	Y	140400	2016	"LAS VEGAS, NEVADA"	-115.1398296	36.1699412
5570	CERTIFIED	LIFE TECHNOLOGIES CORPORATION	MARKETING MANAGERS	MARKET DEVELOPMENT MANAGER	Y	110074	2016	"SOUTH SAN FRANCISCO, CALIFORNIA"	-122.4077498	37.654656
5571	WITHDRAWN	VIONIC GROUP LLC	MARKETING MANAGERS	"VICE PRESIDENT, MULTIMEDIA SALES"	Y	149635	2016	"WEST CHESTER, PENNSYLVANIA"	-75.6054882	39.9606643
5572	CERTIFIED	"ARMAND DE BRIGNAC HOLDINGS, LLC"	MARKETING MANAGERS	GLOBAL BRAND MANAGER	Y	108493	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5573	CERTIFIED	"MOET HENNESSY USA, INC."	MARKETING MANAGERS	"VICE PRESIDENT, BUSINESS (DOM PERIGNON)"	Y	179774	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5574	DENIED	APPEN BUTLER HILL GROUP LLC	MARKETING MANAGERS	"VP, BUSINESS DEVELOPMENT, SOCIAL MEDIA & CUSTOM LINGUISTICS"	Y	110074	2016	"SAN RAFAEL, CALIFORNIA"	-122.5310874	37.9735346
5575	CERTIFIED	NSW TRADE & INVESTMENT AUSTRALIA	MARKETING MANAGERS	TRADE & INVESTMENT COMMISSIONER	Y	144893	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
5576	CERTIFIED	APPEN BUTLER HILL GROUP LLC	MARKETING MANAGERS	"VP, BUSINESS DEVELOPMENT, SOCIAL MEDIA & CUSTOM LINGUISTICS"	Y	110074	2016	"SAN RAFAEL, CALIFORNIA"	-122.5310874	37.9735346
5577	CERTIFIED	"KING CONTENT (USA), INC"	MARKETING MANAGERS	VP STRATEGY AND INNOVATION	Y	144123	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5578	CERTIFIED	"NITRO CIRCUS LIVE USA, INC."	MARKETING MANAGERS	PARTNERSHIPS MANAGER	Y	76045	2016	"SAN CLEMENTE, CALIFORNIA"	-117.6119925	33.4269728
5579	CERTIFIED	INTEGRATED RESEARCH INC.	MARKETING MANAGERS	CHIEF SOLUTIONS OFFICER	Y	170810	2016	"DENVER, COLORADO"	-104.990251	39.7392358
5580	DENIED	E AND D MEDIA INC.	MARKETING MANAGERS	"DIRECTOR, SOCIAL AND DIGITAL MEDIA"	Y	329139200	2016	"SANTA MONICA, CALIFORNIA"	-118.4911912	34.0194543
5581	CERTIFIED	"ARGONAUT, INC."	MARKETING MANAGERS	ASSOCIATE CREATIVE DIRECTOR	Y	179733	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
5582	CERTIFIED	ANOMALY PARTNERS LLC	MARKETING MANAGERS	COMMUNICATIONS STRATEGY DIRECTOR	Y	144123	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5583	CERTIFIED	"DIAGEO NORTH AMERICA, INC."	MARKETING MANAGERS	ASSISTANT BRAND MANAGER	Y	108493	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5584	CERTIFIED	"NITRO CIRCUS LIVE USA, INC."	MARKETING MANAGERS	INTERNATIONAL MARKETING MANAGER	Y	76045	2016	"SAN CLEMENTE, CALIFORNIA"	-117.6119925	33.4269728
5585	CERTIFIED	ANOMALY PARTNERS LLC	MARKETING MANAGERS	CHIEF STRATEGY OFFICER	Y	215405	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5586	CERTIFIED	"DIAGEO NORTH AMERICA, INC."	MARKETING MANAGERS	ASSISTANT BRAND MANAGER	Y	108493	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5587	CERTIFIED	SMART TECHNOLOGIES CORPORATION	MARKETING MANAGERS	MANAGER - PRODUCT MANAGEMENT	Y	115565	2016	"KIRKLAND, WASHINGTON"	-122.2059833	47.6768927
5588	CERTIFIED	"BQE PARTNERS, INC."	MARKETING MANAGERS	"VICE PRESIDENT, BUSINESS DEVELOPMENT AND SALES"	Y	144123	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5589	CERTIFIED	"S. C. JOHNSON & SON, INC."	MARKETING MANAGERS	MANAGER NEW VENTURES	Y	96387	2016	"RACINE, WISCONSIN"	-87.7828523	42.7261309
5590	CERTIFIED	E AND D MEDIA INC.	MARKETING MANAGERS	"DIRECTOR, SOCIAL AND DIGITAL MARKETING"	Y	174658	2016	"SANTA MONICA, CALIFORNIA"	-118.4911912	34.0194543
5591	DENIED	HYPERFISH INC	MARKETING MANAGERS	MARKETING MANAGER	Y	89565	2016	"KIRKLAND, WASHINGTON"	-122.2059833	47.6768927
5592	CERTIFIED	NSW TRADE & INVESTMENT AUSTRALIA	MARKETING MANAGERS	TRADE & INVESTMENT COMMISSIONER	Y	144893	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
5593	CERTIFIED	ANAPLAN INC.	MARKETING MANAGERS	"SENIOR DIRECTOR, PRODUCT MARKETING"	Y	144893	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
5594	CERTIFIED	INTEL CORPORATION	MARKETING MANAGERS	BUSINESS DEVELOPMENT MANAGER	Y	141339	2016	"SANTA CLARA, CALIFORNIA"	-121.9552356	37.3541079
5595	CERTIFIED	"52 WEEKS MARKETING, LLC"	MARKETING MANAGERS	PRESIDENT OF MARKETING	N	49982	2016	"FRANKLIN, TENNESSEE"	-86.8688899	35.9250637
5596	CERTIFIED	HYPERFISH INC	MARKETING MANAGERS	MARKETING MANAGER	Y	89565	2016	"KIRKLAND, WASHINGTON"	-122.2059833	47.6768927
5597	CERTIFIED	"DERMALOGICA, LLC"	MARKETING MANAGERS	"SR. DIRECTOR, U.S. MARKETING"	Y	112278	2016	"CARSON, CALIFORNIA"	-118.281693	33.8316745
5598	CERTIFIED	"SMART PET TECHNOLOGIES, LLC"	MARKETING MANAGERS	PRODUCT DEVELOPMENT MANAGER	Y	126069	2016	"STAMFORD, CONNECTICUT"	-73.5387341	41.0534302
5599	CERTIFIED	GMR MARKETING LLC	MARKETING MANAGERS	"VICE PRESIDENT, CLIENT SERVICES"	Y	110074	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
5600	CERTIFIED	BEAR DOWN CONSULTING	MARKETING MANAGERS	MARKETING MANAGER	Y	76045	2016	"SANTA ANA, CALIFORNIA"	-117.8678338	33.7455731
5601	CERTIFIED	"UNILIFE MEDICAL SOLUTIONS, INC."	MARKETING MANAGERS	"SENIOR VICE PRESIDENT, MARKETING AND COMMUNICATIONS"	Y	164341	2016	"YORK, PENNSYLVANIA"	-76.727745	39.9625984
5602	CERTIFIED	"LABELCITY, INC."	MARKETING MANAGERS	MARKETING DIRECTOR	Y	97157	2016	"JIM THORPE, PENNSYLVANIA"	NA	NA
5603	CERTIFIED	"BELLY, INC"	MARKETING MANAGERS	DEMAND GENERATION MANAGER	N	70000	2016	"CHICAGO, ILLINOIS"	-87.6297982	41.8781136
5604	CERTIFIED-WITHDRAWN	RESOLUTION MEDIA INC.	MARKETING MANAGERS	SEO SUPERVISOR	N	69618	2016	"CHICAGO, ILLINOIS"	-87.6297982	41.8781136
5605	DENIED	SQUARE DEAL ENTERPRISES	MARKETING MANAGERS	INTERNATIONAL MARKETING MANAGER - MOTORCYCLE	Y	117000	2016	"JANESVILLE, MINNESOTA"	NA	NA
5606	CERTIFIED	EMC CORPORATION	MARKETING MANAGERS	PRINCIPAL PRODUCT MARKETING MANAGER	Y	144893	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
5607	CERTIFIED	CATERPILLAR INC.	MARKETING MANAGERS	BUSINESS DEVELOPMENT MANAGER	Y	85675	2016	"PEORIA, ILLINOIS"	-89.5889864	40.6936488
5608	CERTIFIED	MEKANISM INC.	MARKETING MANAGERS	SENIOR BRAND MANAGER	Y	108492.8	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
5609	CERTIFIED	"FOX CABLE NETWORKS SERVICES, LLC"	MARKETING MANAGERS	VP COMMERCIAL DMVPD	Y	174658	2016	"LOS ANGELES, CALIFORNIA"	-118.2436849	34.0522342
